id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
15526,"Solto Collina, Lombardia, Italy",Solto Collina,5,$131.00,47,4.83
15542,"Solto Collina, Lombardy, Italy",Solto Collina,3,,49,4.92
116423,"Bossico, Lombardia, Italy",Bossico,4,$50.00,18,4.72
179345,"Bossico, Lombardy, Italy",Bossico,2,$50.00,21,4.76
215933,"Bergamo, Lombardy, Italy",Bergamo,3,$93.00,75,4.89
215946,"Bergamo, Lombardy, Italy",Bergamo,2,$69.00,212,4.83
225436,"Solto Collina, Lombardy, Italy",Solto Collina,4,$98.00,221,4.86
453966,"Onore, Lombardy, Italy",Onore,6,$90.00,13,4.77
458623,"Solto Collina, Lombardy, Italy",Solto Collina,5,$100.00,87,4.82
528413,,Bergamo,3,$53.00,504,4.72
535791,,Bergamo,1,$43.00,201,4.74
541284,"Bergamo, Lombardy, Italy",Bergamo,2,$80.00,83,4.88
575725,"Bergamo, Lombardy, Italy",Bergamo,7,$77.00,223,4.86
581839,"Bergamo, Lombardy, Italy",Bergamo,2,$68.00,91,4.87
659564,,Bergamo,3,$59.00,94,4.66
898277,,Gandellino,8,$130.00,23,4.91
920651,,Seriate,3,$52.00,25,4.28
938572,"Fonteno, Lombardy, Italy",Fonteno,5,$154.00,7,5.0
953122,"Bergamo, Lombardy, Italy",Bergamo,5,$75.00,407,4.89
961952,"Zogno, Lombardia, Italy",Zogno,3,$55.00,212,4.92
1092117,,Bergamo,2,$70.00,349,4.86
1152885,"Bergamo, Lombardia, Italy",Bergamo,2,$54.00,353,4.81
1182796,"Solto Collina, Lombardia, Italy",Solto Collina,8,$174.00,32,4.81
1185436,,Bergamo,4,$65.00,1,3.0
1298559,,Bergamo,5,$84.00,47,4.66
1332139,,Bergamo,4,$135.00,45,4.8
1354765,"Bergamo, Lombardia, Italy",Bergamo,6,$195.00,184,4.76
1376791,"Entratico, Bergamo, Italy",Entratico,6,$135.00,57,4.7
1379390,"Entratico, Bergamo, Italy",Entratico,5,$75.00,70,4.87
1404275,,Bergamo,6,$80.00,61,4.61
1431086,"Entratico, Bergamo, Italy",Entratico,2,$60.00,56,4.43
1505938,,Colere,4,$60.00,69,4.9
1580605,"Bergamo, Lombardy, Italy",Bergamo,7,$295.00,56,4.91
1585722,"Bergamo, Lombardy, Italy",Bergamo,2,$104.00,108,4.87
1599545,"Bergamo, Lombardy, Italy",Bergamo,2,$90.00,10,4.9
1599751,"Bergamo, Lombardy, Italy",Bergamo,2,$81.00,81,4.61
1645538,"Bergamo, Lombardy, Italy",Bergamo,3,$81.00,88,4.83
1645625,"Bergamo, Lombardy, Italy",Bergamo,2,$81.00,81,4.93
1677736,,Bergamo,2,$65.00,23,4.74
1713325,"Bergamo, Lombardy, Italy",Bergamo,4,$81.00,232,4.93
1744017,"Bergamo, Lombardy, Italy",Bergamo,5,$101.00,150,4.87
1838161,"Riva di Solto, Lombardia, Italy",Riva di Solto,6,$94.00,172,4.8
1838274,"Riva, Lombardy, Italy",Riva di Solto,6,$103.00,462,4.86
1870708,"Zogno, Lombardia, Italy",Zogno,3,$55.00,90,4.89
1871033,"Zogno, Lombardia, Italy",Zogno,4,$75.00,62,4.92
1871167,"Zogno, Lombardia, Italy",Zogno,4,$72.00,87,4.9
1874937,"Bergamo, Lombardy, Italy",Bergamo,6,$66.00,92,4.74
1992334,"Bergamo, Lombardy, Italy",Bergamo,4,$102.00,297,4.88
2009272,"Berbenno, Lombardy, Italy",Berbenno,4,$56.00,13,5.0
