id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
31840,,Centro Storico,2,$147.00,174,4.67
32180,,Centro Storico,4,$121.00,42,4.76
39115,"Florence, Tuscany, Italy",Centro Storico,2,$77.00,88,4.52
39165,"Florence, Tuscany, Italy",Centro Storico,2,,24,4.41
39822,,Centro Storico,4,$91.00,37,4.5
43369,,Centro Storico,2,,8,4.75
44781,"Florence, Tuscany, Italy",Centro Storico,4,$197.00,452,4.86
46520,,Centro Storico,3,,156,4.74
46523,,Centro Storico,1,$113.00,297,4.67
46524,,Centro Storico,3,$168.00,163,4.74
47498,"Florence, Tuscany, Italy",Centro Storico,3,$87.00,557,4.59
48372,"Florence, Tuscany, Italy",Centro Storico,1,$80.00,40,4.6
57542,"Florence, Tuscany, Italy",Centro Storico,4,$123.00,152,4.57
57644,"Florence, Tuscany, Italy",Centro Storico,4,$139.00,152,4.83
57767,"Florence, Tuscany, Italy",Centro Storico,8,$243.00,181,4.88
57859,"Florence, Tuscany, Italy",Centro Storico,3,$140.00,230,4.72
60838,"Florence, Tuscany, Italy",Centro Storico,4,$138.00,123,4.92
64023,"Florence, Tuscany, Italy",Centro Storico,2,$105.00,244,4.84
66903,"Florence, Tuscany, Italy",Centro Storico,4,,46,4.96
67725,"Florence, Tuscany, Italy",Centro Storico,3,$98.00,13,4.08
68273,"Florence, Tuscany, Italy",Centro Storico,3,$173.00,49,4.98
70885,"Florence, Tuscany, Italy",Centro Storico,2,$105.00,37,4.38
71605,"Florence, Tuscany, Italy",Centro Storico,2,,35,4.26
73739,"Florence, Tuscany, Italy",Isolotto Legnaia,4,$95.00,48,4.58
74682,,Centro Storico,2,$106.00,1196,4.75
77570,"Florence, Tuscany, Italy",Centro Storico,4,$246.00,854,4.93
80692,,Centro Storico,4,,2,4.5
80693,"Florence, Tuscany, Italy",Centro Storico,6,$378.00,11,4.45
80694,"Florence, Tuscany, Italy",Centro Storico,6,$327.00,26,4.32
81606,"Florence, Tuscany, Italy",Centro Storico,6,$140.00,7,4.57
81897,,Centro Storico,2,,2,3.0
82478,,Centro Storico,2,$117.00,18,4.61
82496,,Centro Storico,4,$126.00,1,3.0
82626,"Florence, Tuscany, Italy",Centro Storico,2,$76.00,20,4.45
83045,"Florence, Tuscany, Italy",Centro Storico,10,$496.00,257,4.7
83281,"Florence, Italy",Centro Storico,2,$99.00,130,4.88
84726,,Centro Storico,3,$107.00,118,4.65
84829,"Florence, Tuscany, Italy",Centro Storico,4,$143.00,182,4.96
89856,"Florence, Tuscany, Italy",Centro Storico,4,$203.00,179,4.85
90557,"Florence, Tuscany, Italy",Campo di Marte,2,$97.00,121,4.88
106407,,Centro Storico,8,$414.00,41,4.4
122324,,Campo di Marte,12,$369.00,44,4.82
124134,,Isolotto Legnaia,6,$117.00,248,4.63
132401,"Florence, Tuscany, Italy",Centro Storico,3,$102.00,403,4.77
132955,"Florence, Tuscany, Italy",Centro Storico,2,$54.00,54,4.6
133197,,Centro Storico,2,$75.00,698,4.8
133411,"Florence, Tuscany, Italy",Centro Storico,2,$93.00,29,4.59
136910,"Florence, Tuscany, Italy",Centro Storico,1,$68.00,98,4.91
141661,"Florence, Tuscany, Italy",Centro Storico,7,$317.00,57,4.85
142416,,Centro Storico,4,,12,4.33
147220,,Centro Storico,6,$373.00,91,4.53
150675,"Florence, Tuscany, Italy",Centro Storico,2,,859,4.76
156559,,Centro Storico,8,$249.00,181,4.63
160310,,Centro Storico,2,$151.00,476,4.93
160352,,Centro Storico,2,$120.00,479,4.92
160366,,Centro Storico,2,$104.00,750,4.83
160399,,Centro Storico,2,$106.00,524,4.82
161134,,Isolotto Legnaia,2,$162.00,3,5.0
174420,,Centro Storico,6,$90.00,205,4.71
181844,"Florence, Tuscany, Italy",Centro Storico,2,$180.00,33,4.94
182984,"Florence, Tuscany, Italy",Centro Storico,3,$103.00,27,4.63
189586,,Campo di Marte,4,$161.00,50,4.55
191323,,Centro Storico,4,$161.00,76,4.63
193675,,Centro Storico,4,$71.00,136,4.26
197711,"Florence, Tuscany, Italy",Centro Storico,3,$212.00,98,4.84
201931,"Florence, Tuscany, Italy",Rifredi,4,$170.00,60,4.91
205228,"Florence, Tuscany, Italy",Centro Storico,2,$93.00,129,4.73
209838,,Centro Storico,3,$106.00,439,4.62
210094,"Florence, Tuscany, Italy",Centro Storico,2,$67.00,47,4.8
212107,"Florence, Tuscany, Italy",Centro Storico,2,,16,4.75
224562,"Florence, Tuscany, Italy",Centro Storico,4,$139.00,111,4.67
224669,"Florence, Tuscany, Italy",Campo di Marte,4,$97.00,94,4.99
227059,"Florence, Tuscany, Italy",Centro Storico,2,$44.00,551,4.78
230853,"Florence, Tuscany, Italy",Campo di Marte,2,$67.00,620,4.85
238351,,Centro Storico,2,$114.00,77,4.8
248623,"Florence, Tuscany, Italy",Centro Storico,4,$170.00,130,4.68
249512,,Campo di Marte,10,$964.00,4,5.0
250470,"Florence, Tuscany, Italy",Centro Storico,4,$109.00,179,4.92
251811,"Florence, Tuscany, Italy",Centro Storico,6,$157.00,222,4.79
255154,"Florence, Tuscany, Italy",Campo di Marte,4,$112.00,229,4.78
264971,"Florence, Tuscany, Italy",Campo di Marte,2,$980.00,80,4.8
270205,"Florence, Tuscany, Italy",Centro Storico,2,$119.00,222,4.81
273691,"Florence, Tuscany, Italy",Centro Storico,4,$146.00,765,4.82
279656,,Centro Storico,3,$133.00,78,4.82
281491,,Centro Storico,3,,151,4.35
282604,"Florence, Tuscany, Italy",Centro Storico,7,$183.00,49,4.09
295935,"Florence, Tuscany, Italy",Campo di Marte,2,$64.00,102,4.54
296113,,Centro Storico,4,$182.00,401,4.86
297891,,Centro Storico,3,$90.00,56,4.66
298143,"Florence, Tuscany, Italy",Centro Storico,2,$160.00,572,4.78
316984,"Florence, Tuscany, Italy",Centro Storico,2,,35,4.43
336259,,Centro Storico,4,$234.00,187,4.84
336260,"Florence, Tuscany, Italy",Centro Storico,4,$205.00,162,4.93
339138,"Florence, Tuscany, Italy",Campo di Marte,1,$60.00,22,4.86
341907,"Florence, Tuscany, Italy",Centro Storico,4,$61.00,229,4.89
343773,"Florence, Tuscany, Italy",Centro Storico,4,$199.00,531,4.97
345815,,Campo di Marte,6,$135.00,1,5.0
346237,,Campo di Marte,4,$141.00,42,4.74
346238,"Florence, Tuscany, Italy",Campo di Marte,2,$125.00,31,4.61
346239,,Campo di Marte,4,$118.00,40,4.78
347062,"Florence, Tuscany, Italy",Isolotto Legnaia,10,$302.00,19,4.84
351439,"Florence, Tuscany, Italy",Centro Storico,4,$180.00,275,4.92
354097,"Florence, Tuscany, Italy",Centro Storico,4,$150.00,184,4.87
354112,"Florence, Tuscany, Italy",Centro Storico,4,$171.00,81,4.9
359054,"Florence, Tuscany, Italy",Centro Storico,4,$144.00,96,4.87
359058,"Florence, Tuscany, Italy",Centro Storico,5,$176.00,62,4.92
367374,"Florence, Tuscany, Italy",Centro Storico,4,$212.00,93,4.84
367427,"Florence, Tuscany, Italy",Centro Storico,4,$122.00,79,4.9
367487,"Florence, Tuscany, Italy",Centro Storico,2,$105.00,68,4.79
369523,"Florence, Tuscany, Italy",Gavinana Galluzzo,2,$59.00,81,4.59
372687,,Centro Storico,6,$335.00,10,4.2
378542,"Florence, Tuscany, Italy",Campo di Marte,2,$68.00,296,4.84
379760,"Florence, Tuscany, Italy",Campo di Marte,4,$162.00,113,4.8
384095,"Florence, Tuscany, Italy",Centro Storico,2,$85.00,102,4.1
393927,"Florence, Tuscany, Italy",Campo di Marte,4,$180.00,35,4.8
393928,"Florence, Tuscany, Italy",Campo di Marte,2,$180.00,111,4.84
396714,"Florence, Tuscany, Italy",Centro Storico,2,$72.00,551,4.53
403424,"Florence, Tuscany, Italy",Centro Storico,2,,128,4.56
404451,"Florence, Tuscany, Italy",Isolotto Legnaia,4,$97.00,117,4.48
405278,"Florence, Tuscany, Italy",Rifredi,2,$119.00,22,4.73
405633,"Florence, Tuscany, Italy",Centro Storico,2,$180.00,28,4.93
408864,,Centro Storico,4,$177.00,0,
412264,"Florence, Tuscany, Italy",Centro Storico,5,$208.00,25,4.88
413600,,Centro Storico,4,$86.00,153,4.7
423556,"Florence, Tuscany, Italy",Centro Storico,6,$350.00,52,4.72
424065,"Florence, Tuscany, Italy",Centro Storico,4,$151.00,460,4.9
429670,"Florence, Tuscany, Italy",Centro Storico,5,,2,3.5
