id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
23986,,NAVIGLI,4,$180.00,26,4.64
40470,,VIALE MONZA,4,,44,4.67
46536,"Milan, Lombardy, Italy",VIALE MONZA,5,$86.00,39,4.53
84741,"Milan, Lombardy, Italy",PARCO FORLANINI - ORTICA,2,$36.00,690,4.65
88130,,VILLAPIZZONE,4,$250.00,7,5.0
101087,"Milan, Lombardy, Italy",STADERA,4,$80.00,9,4.88
102817,"Milan, Lombardy, Italy",S. CRISTOFORO,3,$63.00,731,4.49
122514,,GIAMBELLINO,4,$60.00,126,4.85
141833,"Milan, Lombardy, Italy",DUOMO,2,$143.00,79,4.91
143329,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$71.00,137,4.68
153925,"Milan, Lombardy, Italy",TORTONA,4,$95.00,108,4.77
155720,"Milan, Lombardy, Italy",NAVIGLI,2,$44.00,319,4.5
161605,,UMBRIA - MOLISE,2,$96.00,2,0.0
171017,"Milan, Lombardy, Italy",LORETO,3,$61.00,538,4.77
181914,,S. CRISTOFORO,4,$130.00,301,4.59
189441,"Milan, Lombardy, Italy",BOVISASCA,1,$48.00,151,4.7
218379,,NAVIGLI,2,$90.00,11,4.82
224432,"Milan, Lombardy, Italy",XXII MARZO,4,$101.00,222,4.9
226939,,VILLAPIZZONE,3,$99.00,4,5.0
233795,"Milan, Lombardy, Italy",BRERA,2,$265.00,76,4.72
234244,"Milan, Lombardy, Italy",TICINESE,6,$296.00,212,4.93
239369,"Milan, Lombardy, Italy",VIGENTINA,2,$139.00,23,4.96
253394,"Milan, Lombardy, Italy",GRATOSOGLIO - TICINELLO,2,,218,4.59
255276,"Milan, Lombardy, Italy",TIBALDI,1,$82.00,0,
255543,,TICINESE,3,$43.00,411,4.47
256399,,VIGENTINA,4,$54.00,11,4.55
274170,"Milan, Lombardy, Italy",DE ANGELI - MONTE ROSA,3,$99.00,49,4.79
287030,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,4,$84.00,45,4.83
297007,"Milan, Lombardy, Italy",BRERA,2,$106.00,819,4.63
300095,,DE ANGELI - MONTE ROSA,2,$130.00,3,5.0
300436,,GIARDINI PORTA VENEZIA,2,$78.00,63,4.35
301889,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,8,$793.00,137,4.88
302491,"Milan, Lombardy, Italy",RIPAMONTI,2,$42.00,2,4.5
303469,"Milan, Lombardy, Italy",BANDE NERE,2,$48.00,18,4.78
304050,,XXII MARZO,1,$60.00,286,4.91
309905,,TICINESE,4,$120.00,53,4.9
344791,"Milan, Lombardy, Italy",RONCHETTO SUL NAVIGLIO,1,,81,4.53
348448,"Milan, Lombardy, Italy",BRERA,2,$93.00,217,4.65
365083,"Milan, Lombardy, Italy",BRERA,1,$56.00,478,4.94
367858,"Milan, Lombardy, Italy",TORTONA,2,$100.00,98,4.66
370033,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$79.00,70,4.74
375710,"Milan, Lombardy, Italy",SARPI,2,$63.00,248,4.68
381512,"Milan, Lombardy, Italy",DUOMO,6,$245.00,89,4.86
383918,,TICINESE,2,$139.00,12,4.58
390076,"Milan, Lombardy, Italy",VIGENTINA,4,$93.00,23,4.87
391334,"Milan, Lombardy, Italy",PADOVA,2,$41.00,45,4.54
394443,,UMBRIA - MOLISE,2,$150.00,56,4.95
399879,"Milan, Lombardy, Italy",TORTONA,4,$136.00,48,4.85
400300,"Milan, Lombardy, Italy",GUASTALLA,4,$352.00,11,4.91
403578,"Milan, Lombardy, Italy",NIGUARDA - CA' GRANDA,4,$133.00,149,4.93
403602,"Milan, Lombardy, Italy",DUOMO,3,$162.00,77,4.71
405089,"Milan, Lombardy, Italy",PADOVA,1,$76.00,18,4.61
406218,"Milan, Lombardy, Italy",WASHINGTON,1,$60.00,6,4.83
409123,"Milan, Lombardy, Italy",GIAMBELLINO,1,$27.00,15,4.6
409414,,CENTRALE,1,$265.00,25,4.36
409509,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,,7,4.86
409985,"Milan, Lombardy, Italy",ISOLA,4,$135.00,120,4.9
411118,"Milan, Lombardy, Italy",BUENOS AIRES - VENEZIA,2,$62.00,80,4.86
412833,"Milan, Lombardy, Italy",DUOMO,5,$488.00,273,4.89
414257,"Milan, Lombardy, Italy",VIGENTINA,2,$126.00,8,3.17
414465,"Milan, Lombardy, Italy",VILLAPIZZONE,10,$363.00,196,4.7
415534,,SARPI,2,$96.00,25,4.79
416072,"Milan, Lombardy, Italy",LORETO,5,$129.00,51,4.78
416539,,CENTRALE,2,$280.00,7,4.71
419218,"Milan, Lombardy, Italy",LORETO,4,$66.00,38,4.89
423437,,TICINESE,3,$58.00,1,5.0
430860,"Milan, Lombardy, Italy",PARCO LAMBRO - CIMIANO,2,$60.00,87,4.89
431719,"Milan, Lombardy, Italy",DUOMO,8,$633.00,26,4.85
434334,"Milan, Lombardy, Italy",DUOMO,2,$292.00,647,4.95
434379,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,2,$90.00,12,4.92
440465,,STADERA,3,$46.00,157,4.59
451490,,DUOMO,4,$90.00,153,4.83
460175,"Milan, Lombardy, Italy",SARPI,2,$150.00,3,4.0
462229,"Milan, Lombardy, Italy",VIALE MONZA,2,$65.00,15,4.86
470014,,GARIBALDI REPUBBLICA,1,$28.00,4,4.67
470295,"Milan, Lombardy, Italy",NAVIGLI,2,$46.00,302,4.35
473121,"Milan, Lombardy, Italy",RIPAMONTI,2,$88.00,0,
509374,"Milan, Lombardy, Italy",SARPI,2,$180.00,21,4.71
528331,"Milan, Lombardy, Italy",LORETO,2,$46.00,410,4.85
530224,"Milan, Lombardy, Italy",LORETO,4,$68.00,99,4.74
536375,"Milan, Lombardy, Italy",ISOLA,3,$300.00,37,3.86
538175,"Milan, Lombardy, Italy",S. CRISTOFORO,3,,11,4.27
541221,"Milan, Lombardy, Italy",TICINESE,3,$156.00,14,4.29
541668,"Milan, Lombardy, Italy",LODI - CORVETTO,3,$59.00,66,4.89
544809,"Milan, Lombardy, Italy",PORTA ROMANA,3,$55.00,145,4.57
553285,"Milan, Lombardy, Italy",CENTRALE,7,,141,4.82
564917,"Milan, Lombardy, Italy",PARCO LAMBRO - CIMIANO,1,$59.00,13,4.54
566637,,BUENOS AIRES - VENEZIA,10,$220.00,529,4.78
579191,"Milan, MI, Italy",S. CRISTOFORO,4,$194.00,74,4.84
584568,,GALLARATESE,2,$58.00,91,4.61
589496,,BUENOS AIRES - VENEZIA,5,$142.00,298,4.78
602405,"Milan, Lombardy, Italy",TICINESE,4,,59,4.7
621791,,VIGENTINA,3,$510.00,9,4.67
627433,"Milan, Lombardy, Italy",FARINI,2,$81.00,127,4.68
645501,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,2,$59.00,9,5.0
649485,"Milan, Lombardy, Italy",TICINESE,3,,3,4.0
671609,,XXII MARZO,2,$200.00,6,4.83
679442,,SARPI,2,$110.00,33,4.82
682825,,BRERA,2,$130.00,42,4.98
691171,"Milan, Lombardy, Italy",PADOVA,2,$30.00,146,4.54
691643,"Milan, Lombardy, Italy",PADOVA,4,$167.00,19,4.18
698687,,XXII MARZO,1,$245.00,12,4.92
702139,,GHISOLFA,4,$156.00,177,4.87
709463,"Milan, Lombardy, Italy",TORTONA,4,$65.00,128,4.36
709966,"Milan, Lombardy, Italy",GUASTALLA,1,$72.00,35,4.64
710637,,NAVIGLI,2,,4,5.0
711493,"Milan, Lombardy, Italy",NAVIGLI,2,$90.00,560,4.79
713411,"Milan, Lombardy, Italy",GIAMBELLINO,4,$133.00,253,4.79
713786,,DUOMO,3,$428.00,52,4.65
715392,"Milan, Lombardy, Italy",MAGENTA - S. VITTORE,3,$108.00,224,4.92
717747,"Milan, Lombardy, Italy",XXII MARZO,2,$38.00,30,4.5
718020,"Milan, Lombardy, Italy",S. CRISTOFORO,1,$82.00,82,4.35
723981,"Milan, Lombardy, Italy",CENTRALE,2,$260.00,114,4.51
726493,,S. CRISTOFORO,4,$152.00,20,4.45
730692,"Milan, Lombardy, Italy",PADOVA,2,$30.00,8,4.5
