id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
36016,"Naples, Campania, Italy",San Lorenzo,2,$62.00,145,4.58
63413,"Naples, Campania, Italy",Chiaia,2,$53.00,133,4.64
74364,"Naples, Campania, Italy",San Giuseppe,2,$49.00,288,4.89
76993,"Naples, Campania, Italy",Vomero,4,$55.00,84,4.96
77009,"Naples, Campania, Italy",Vomero,2,$42.00,237,4.89
77010,"Naples, Campania, Italy",Vomero,2,$43.00,166,4.83
157691,"Naples, Campania, Italy",San Lorenzo,2,$64.00,358,4.73
158928,"Naples, Campania, Italy",San Lorenzo,6,$70.00,9,4.22
176475,"Naples, Campania, Italy",Chiaia,6,$378.00,292,4.71
199327,"Naples, Campania, Italy",San Ferdinando,4,$110.00,93,4.26
209277,"Naples, Campania, Italy",San Giuseppe,4,$98.00,346,4.7
209278,"Naples, Campania, Italy",San Giuseppe,4,$95.00,587,4.75
212791,,San Lorenzo,4,$100.00,1,5.0
212824,"Naples, Campania, Italy",San Giuseppe,2,$95.00,8,4.5
216439,"Naples, Campania, Italy",San Ferdinando,5,$54.00,7,4.67
228404,,San Giuseppe,8,$272.00,118,4.87
237997,,San Giuseppe,3,$95.00,2,5.0
248199,"Naples, Campania, Italy",Avvocata,2,$75.00,9,4.89
264932,,Porto,2,$116.00,3,4.33
296874,,Stella,2,$72.00,0,
301476,,Arenella,5,$72.00,115,4.77
304001,"Naples, Campania, Italy",Pendino,4,$103.00,263,4.87
310815,"Naples, Campania, Italy",Pendino,1,$32.00,372,4.76
409654,"Naples, Campania, Italy",San Lorenzo,1,$35.00,369,4.78
492947,"Naples, Campania, Italy",Chiaia,1,$54.00,17,5.0
516800,"Naples, Campania, Italy",San Lorenzo,2,$54.00,872,4.82
549165,"Naples, Campania, Italy",San Ferdinando,4,,1,5.0
580756,"Naples, Campania, Italy",San Ferdinando,2,$100.00,41,4.76
580835,"Naples, Campania, Italy",Posillipo,8,$174.00,268,4.94
610129,"Naples, Campania, Italy",Posillipo,2,$52.00,7,4.43
621782,"Naples, Campania, Italy",San Ferdinando,4,$134.00,128,4.68
630813,"Naples, Campania, Italy",Posillipo,5,$145.00,176,4.93
632412,"Naples, Campania, Italy",San Lorenzo,2,$38.00,65,4.33
634025,"Naples, Campania, Italy",Montecalvario,2,$108.00,268,4.88
691798,"Naples, Campania, Italy",Chiaia,4,$60.00,19,4.79
697484,"Naples, Campania, Italy",San Carlo all'Arena,5,$94.00,151,4.68
698809,,San Ferdinando,2,$69.00,599,4.98
702052,"Naples, Campania, Italy",Avvocata,4,$110.00,165,4.94
706257,"Naples, Campania, Italy",Avvocata,4,$86.00,13,4.85
706258,"Naples, Campania, Italy",San Lorenzo,4,$94.00,9,4.78
730284,"Naples, Campania, Italy",Chiaia,3,$90.00,124,4.84
730290,"Naples, Campania, Italy",Chiaia,3,$93.00,136,4.82
732137,"Naples, Campania, Italy",Chiaia,4,$108.00,22,4.68
732160,"Naples, Campania, Italy",Chiaia,5,$97.00,10,4.3
751549,"Naples, Campania, Italy",Chiaia,4,$103.00,10,4.9
757502,"Naples, Campania, Italy",Vomero,3,$77.00,12,5.0
758175,"Naples, Campania, Italy",Porto,2,$79.00,14,4.64
770035,"Naples, Campania, Italy",Chiaia,4,$102.00,13,4.77
780382,"Naples, Campania, Italy",San Ferdinando,3,,74,4.7
780387,"Naples, Campania, Italy",Porto,5,$109.00,32,4.84
786563,"Naples, Campania, Italy",Avvocata,4,$30.00,71,4.52
789636,"Naples, Campania, Italy",San Ferdinando,6,$198.00,231,4.78
806375,"Naples, Campania, Italy",San Giuseppe,4,$70.00,527,4.71
821853,"Naples, Campania, Italy",Arenella,5,$94.00,127,4.93
832048,"Naples, Campania, Italy",San Giuseppe,4,$220.00,22,4.68
836923,"Naples, Campania, Italy",San Ferdinando,2,$70.00,259,4.56
846566,"Naples, Campania, Italy",San Ferdinando,4,$130.00,514,4.74
877667,"Naples, Campania, Italy",San Lorenzo,9,$196.00,154,4.61
877913,"Naples, Campania, Italy",San Lorenzo,4,$160.00,284,4.9
913871,"Naples, Campania, Italy",San Ferdinando,7,$396.00,247,4.67
913954,"Naples, Campania, Italy",San Ferdinando,3,$94.00,557,4.73
934742,,San Ferdinando,2,,2,5.0
935301,"Naples, Campania, Italy",San Lorenzo,5,$127.00,295,4.87
936832,"Naples, Campania, Italy",Vomero,3,$150.00,29,4.69
940413,,Montecalvario,2,$28.00,111,4.48
949126,"Naples, Campania, Italy",San Lorenzo,9,$191.00,112,4.77
960793,"Naples, Campania, Italy",Posillipo,2,$49.00,40,4.65
971674,,San Lorenzo,2,$76.00,126,4.94
994105,"Naples, Campania, Italy",Avvocata,1,,185,4.66
1017614,"Naples, Campania, Italy",Arenella,6,$140.00,76,4.91
1042519,"Naples, Campania, Italy",Porto,4,$102.00,336,4.89
1053298,"Naples, Campania, Italy",Zona Industriale,10,$124.00,288,4.82
1081426,,Chiaia,2,$92.00,131,4.63
1109523,"Naples, Campania, Italy",San Lorenzo,2,$83.00,196,4.84
1165052,"Naples, Campania, Italy",Porto,5,$95.00,340,4.86
1165750,"Naples, Campania, Italy",San Ferdinando,6,$100.00,152,4.36
1200059,"Naples, Campania, Italy",Posillipo,2,$90.00,24,4.92
1202148,"Naples, Campania, Italy",San Carlo all'Arena,2,$70.00,307,4.58
1214989,"Naples, Campania, Italy",Chiaia,4,$90.00,1,5.0
1218754,"Naples, Campania, Italy",San Ferdinando,6,$231.00,17,4.65
1219831,,Pendino,4,$72.00,67,4.49
1220098,"Naples, Campania, Italy",Arenella,3,$123.00,4,5.0
1226598,"Naples, Campania, Italy",San Lorenzo,6,$228.00,60,4.9
1266358,,Chiaia,4,$63.00,189,4.93
1296488,"Naples, Campania, Italy",Porto,4,$89.00,306,4.79
1307453,"Naples, Campania, Italy",Arenella,3,$56.00,39,4.9
1369241,"Naples, Campania, Italy",Fuorigrotta,6,$60.00,129,4.8
1409155,,Chiaia,2,$159.00,13,4.92
1424804,"Naples, Campania, Italy",Chiaia,2,$106.00,72,4.86
1432863,"Naples, Campania, Italy",Mercato,4,$249.00,53,4.79
1508974,,Vomero,6,$80.00,144,4.72
1509485,,San Ferdinando,4,$77.00,172,4.73
1594430,"Naples, Campania, Italy",Pendino,2,$48.00,41,4.49
