id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
440091,"Sannicola, Apúlia, Italy",Sannicola,4,$70.00,18,4.83
440480,,Corato,2,$105.00,3,4.0
445521,"Marina di Ugento, Puglia, Italy, Italy",Ugento,4,$49.00,19,4.58
452276,,Cisternino,4,$38.00,14,4.43
457264,,Mattinata,4,$150.00,12,4.92
461467,"Lecce, Apúlia, Italy",Lecce,3,$96.00,64,4.35
469466,,Noci,2,$130.00,86,4.86
470920,,San Vito dei Normanni,13,$340.00,39,4.74
698577,"Parabita, Apúlia, Italy",Parabita,5,$71.00,34,4.79
701877,,Santa Cesarea Terme,2,$55.00,58,4.88
702466,,Polignano a Mare,2,$123.00,329,4.91
704079,"Tuglie, Apúlia, Italy",Tuglie,4,$154.00,0,
707653,"San Cesario di Lecce, Apúlia, Italy",San Cesario di Lecce,5,$100.00,13,4.46
709077,,Ceglie Messapica,2,$65.00,26,4.92
713554,"Otranto, Apúlia, Italy",Otranto,5,,2,5.0
719150,"Polignano A Mare, Puglia, Italy, Italy",Polignano a Mare,2,$143.00,214,4.99
719295,"Ostuni, Apúlia, Italy",Ostuni,13,$550.00,86,4.91
37125,,Conversano,4,$100.00,1,4.0
45663,"Terlizzi, Apúlia, Italy",Terlizzi,16,"$1,245.00",3,5.0
60925,,Ostuni,5,$262.00,109,4.96
61987,"Vico Del Gargano, Apúlia, Italy",Vico del Gargano,5,$40.00,53,4.73
61989,,Vico del Gargano,4,$50.00,15,4.73
61991,,Vico del Gargano,4,$40.00,11,4.91
61993,,Vico del Gargano,4,$40.00,36,4.78
63364,,Vieste,6,,7,4.86
63942,"Vieste, Apúlia, Italy",Vieste,4,,8,4.5
476038,"Nardò, Puglia, Italy, Italy",Nard,7,$40.00,13,4.69
480836,"Fasano, Apúlia, Italy",Fasano,6,,35,4.91
486560,"Salve , Apúlia, Italy",Salve,9,$250.00,4,5.0
487112,"Francavilla Fontana, Apúlia, Italy",Francavilla Fontana,2,$150.00,99,4.9
491843,,Otranto,5,$102.00,194,4.87
492308,"Melendugno, Apúlia, Italy",Melendugno,3,$87.00,12,4.92
492344,,Alezio,4,$75.00,49,4.85
63956,"Vieste, Apúlia, Italy",Vieste,3,,1,5.0
63957,"Vieste, Apúlia, Italy",Vieste,5,,13,4.77
66883,"Marina di Ginosa, Taranto, Italy",Ginosa,3,$101.00,3,5.0
82761,"Peschici, Apulia, Italy",Peschici,2,$124.00,6,4.83
87951,"Gallipoli, Apúlia, Italy",Gallipoli,4,$102.00,15,4.6
107385,"Nardò, Apúlia, Italy",Nard,6,$65.00,62,4.49
112767,,Gallipoli,5,$250.00,0,
113483,"Gallipoli, Apúlia, Italy",Gallipoli,4,$40.00,88,4.38
128549,"Soleto, Apúlia, Italy",Soleto,6,$80.00,9,5.0
130827,"Gallipoli, Puglia, Italy, Italy",Gallipoli,6,$76.00,2,5.0
719531,"San Severo, Apúlia, Italy",San Severo,3,$50.00,27,4.67
719707,"Lecce, Apúlia, Italy",Lecce,3,$60.00,212,4.65
721538,"Otranto, Puglia, Italy, Italy",Otranto,5,$73.00,17,4.59
723422,"Alberobello, Apúlia, Italy",Alberobello,2,$95.00,99,4.97
725109,"Lecce, Apúlia, Italy",Lecce,2,$54.00,3,5.0
730078,,Martina Franca,6,,63,4.94
732102,"Alberobello, Bari, Italy",Alberobello,2,,67,4.97
733754,"Alberobello, Apúlia, Italy",Alberobello,2,,30,4.97
734092,,Ostuni,4,$112.00,0,
743621,"Bari, Apúlia, Italy",Bari,1,,33,4.79
493073,"Taviano, Puglia/Marina di Mancaversa, Italy",Taviano,4,$65.00,0,
493074," Taviano,  Puglia/Marina di Mancaversa, Italy",Taviano,5,$60.00,0,
493276,,Porto Cesareo,2,$25.00,3,5.0
495156,,Noci,2,$90.00,108,4.88
495202,,Noci,2,$121.00,131,4.91
498816,"Padula Bianca, Apulia, Italy",Gallipoli,4,,7,4.86
747473,,Andrano,7,$75.00,1,5.0
749264,,Ostuni,8,$499.00,4,5.0
751211,,Carovigno,16,$69.00,63,4.35
753313,"Corsano, Apúlia, Italy",Corsano,6,$400.00,6,5.0
755531,"Lecce, Puglia, Italy, Italy",Lecce,2,,1,5.0
758490,,Bari,3,$53.00,109,4.54
778351,"Santa Cesarea Terme, Puglia, Italy, Italy",Santa Cesarea Terme,5,$86.00,4,4.5
779548,"Lecce, Puglia, Italy, Italy",Lecce,8,$225.00,6,4.67
782381,"Nardo', Lecce, Puglia, Italy",Nard,8,,13,4.31
783284,"Mattinata, Apúlia, Italy",Mattinata,2,$53.00,9,4.67
500033,"Martina Franca, Italia, Italy",Martina Franca,4,$50.00,125,4.81
500901,"Gallipoli, Apúlia, Italy",Gallipoli,6,$60.00,3,4.33
503260,,Martina Franca,8,$90.00,3,5.0
507324,"Morciano di Leuca, Puglia, Italy, Italy",Morciano di Leuca,4,$50.00,23,4.87
135084,"Capilungo, Puglia, Italy, Italy",Alliste,5,$88.00,21,4.43
136806,"Martano, Apúlia, Italy",Martano,2,$650.00,5,4.4
136869,"Mattinata, Apúlia, Italy",Mattinata,4,$145.00,44,4.86
140829,"Lido Marini, Apúlia, Italy",Ugento,6,$98.00,42,4.55
147680,"Marina di Mancaversa-giannelli, Apúlia, Italy",Taviano,6,$83.00,129,4.9
153486,,Gallipoli,6,$350.00,156,4.9
158911,,Carovigno,2,$160.00,27,4.93
163755,,Bari,2,,43,4.53
167316,"Ceglie Messapica, Apúlia, Italy",Ceglie Messapica,4,$55.00,226,4.9
170177,,Vieste,4,$47.00,7,4.71
508022,"Noci, Apúlia, Italy",Noci,5,$76.00,21,4.86
516535,,Arnesano,2,$152.00,0,
520421,"Otranto, Apúlia, Italy",Otranto,6,$141.00,21,4.81
520825,"Gagliano del Capo, Apúlia, Italy",Gagliano del Capo,5,$41.00,11,4.82
785123,,Castellana Grotte,4,$98.00,4,4.67
801151,"Palombaio Bitonto, Apulia, Italy",Bitonto,2,$72.00,19,4.53
807668,"Ortelle, Puglia, Italy, Italy",Ortelle,2,$29.00,11,4.91
816542,"Copertino, Lecce, Puglia, Italy",Nard,16,$802.00,8,4.5
825194,,Castrignano de' Greci,3,$55.00,2,5.0
835875,,Monopoli,2,$193.00,10,4.5
844813,,Bari,2,$55.00,165,4.47
849089,,Ceglie Messapica,6,$130.00,10,4.9
868793,,Melendugno,2,$51.00,6,4.83
890338,"Morciano di Leuca, Puglia, Italy, Italy",Morciano di Leuca,2,,49,4.92
903422,,Galatone,4,$38.00,10,4.8
529704,"Brindisi, Puglia, Italy, Italy",Brindisi,4,$90.00,124,4.9
170907,,Vieste,2,$42.00,7,4.14
189113,"San Michele Salentino, Apúlia, Italy",San Michele Salentino,13,$330.00,26,5.0
206109,"Ostuni, Apúlia, Italy",Ostuni,2,$90.00,163,4.91
209821,,Porto Cesareo,8,$96.00,13,5.0
210605,"Patù, Puglia, Italy, Italy",Pat,5,$53.00,37,4.72
223061,"Alberobello, Puglia, Italy, Italy",Alberobello,4,$89.00,81,4.8
230581,,Alessano,2,$28.00,43,4.81
237396,,Uggiano la Chiesa,3,$75.00,1,5.0
237402,,Uggiano la Chiesa,3,$75.00,2,5.0
237463,,Uggiano la Chiesa,3,,10,5.0
531828,"Noci, Apulia, Italy",Noci,2,$210.00,108,4.98
909608,"Ortelle, Apúlia, Italy",Ortelle,4,$91.00,10,5.0
912521,"Ugento, Apúlia, Italy",Ugento,4,$60.00,2,5.0
922094,,Vieste,4,$162.00,0,
926813,"Lecce, Puglia, Italy, Italy",Lecce,3,,1,5.0
926939,"Salve, Apúlia, Italy",Salve,7,$246.00,34,4.82
928814,,Melendugno,13,$116.00,25,4.84
929009,,Otranto,4,$62.00,76,4.67
929046,,Gallipoli,8,,0,
930611,,Castrignano del Capo,4,$146.00,1,5.0
930938,"Province of Lecce, Apúlia, Italy",Castrignano del Capo,2,$67.00,89,4.88
534469,"Nardò, Apúlia, Italy",Nard,3,$82.00,10,4.2
243173,,Lecce,5,$75.00,11,4.7
248609,,Manduria,5,$86.00,0,
248610,"Alberobello, Apúlia, Italy",Alberobello,4,$129.00,2,4.5
251419,,Polignano a Mare,3,$90.00,359,4.84
257989,"Lecce, Apulia, Italy",Lecce,4,,2,5.0
267335,"Nardò, Apúlia, Italy",Nard,5,$73.00,8,4.5
