id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
6624,"Venice, Veneto, Italy",Santa Croce,6,$294.00,90,4.98
12074,"Venice, Veneto, Italy",San Polo,4,$205.00,202,4.95
44527,"Venice, Veneto, Italy",Cannaregio,4,$372.00,150,4.87
47383,"Venice, Veneto, Italy",San Polo,2,$122.00,429,4.92
49656,"Venice, Veneto, Italy",Dorsoduro,2,$150.00,140,4.82
60304,"Venice, Veneto, Italy",Cannaregio,2,$170.00,160,4.89
61714,,Giudecca,2,$129.00,481,4.86
69877,,Dorsoduro,2,$158.00,6,4.33
71735,"Venice, Veneto, Italy",San Marco,4,$166.00,217,4.59
71874,,Santa Croce,3,$82.00,154,4.49
72740,Italy,Favaro,2,$92.00,445,4.83
72821,,Sacca Fisola,16,,50,4.18
74042,"Venice, Veneto, Italy",Castello,4,$116.00,534,4.79
74272,"Venice, Veneto, Italy",Castello,2,$97.00,382,4.71
75376,"Venice, Veneto, Italy",San Marco,4,$167.00,215,4.71
75994,"Venice, Veneto, Italy",San Marco,4,$183.00,188,4.67
77188,"Venice, Veneto, Italy",Castello,2,$108.00,396,4.88
80403,"Venice, Veneto, Italy",Dorsoduro,3,$142.00,69,4.81
83610,"Venice, Veneto, Italy",Castello,4,$126.00,9,3.88
92159,"Venice, Veneto, Italy",Giudecca,2,$115.00,461,4.78
99238,"Venice, Veneto, Italy",Cannaregio,2,,91,4.99
129278,"Venice, Veneto, Italy",Lido,10,$300.00,8,3.8
130605,"Venice, Italy",Santa Croce,3,$89.00,463,4.72
139786,"Venice, Veneto, Italy",San Marco,3,$270.00,54,4.85
139802,"Venice, Veneto, Italy",San Marco,4,$323.00,74,4.8
142085,"Venice, Veneto, Italy",Cannaregio,2,$125.00,510,4.85
145324,"Venice, Veneto, Italy",Cannaregio,2,$93.00,558,4.44
145631,"Venice, Veneto, Italy",Villaggio San Marco,2,$74.00,744,4.73
146821,"Venice, Veneto, Italy",Castello,8,$449.00,173,4.84
148299,,Castello,4,$158.00,63,4.47
149749,"Venice, Veneto, Italy",Cannaregio,5,$213.00,297,4.59
