Location,Coolness,Centrality,Quietness,Fanciness
Alberobello,5.5,6.0,8.0,7.5
Bari,9.0,10.0,3.0,6.5
Brindisi,6.0,9.0,5.5,6.0
Carovigno,6.5,5.5,7.0,7.0
Castellana Grotte,4.5,6.5,8.5,6.5
Ceglie Messapica,6.0,6.0,7.5,8.0
Cisternino,7.0,6.5,7.0,8.5
Fasano,5.5,7.5,7.0,7.0
Gallipoli,10.0,7.0,2.5,7.0
Lecce,9.0,9.0,4.0,9.5
Locorotondo,6.0,7.0,8.0,8.5
Martina Franca,6.5,8.0,6.5,8.5
Melendugno,8.5,6.0,5.0,7.0
Monopoli,8.0,8.0,5.5,8.0
Nard,6.5,6.5,8.5,8.0
Ostuni,8.5,8.5,5.5,9.0
Otranto,9.5,7.0,4.0,8.5
Peschici,7.0,5.0,6.5,7.0
Polignano a Mare,8.5,8.0,5.0,9.0
Porto Cesareo,9.5,7.0,3.0,7.5
Salve,7.0,4.5,8.0,8.5
Taranto,7.5,8.5,5.0,6.0
Trani,7.0,6.5,8.0,8.5
Vieste,8.5,4.5,5.5,7.5
