id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
46352,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$68.00,479,4.74
59697,,Santo Stefano,1,$50.00,242,4.62
85368,,Santo Stefano,5,$92.00,64,4.92
219878,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$133.00,185,4.85
229114,"Bologna, Emilia-Romagna, Italy",Navile,4,$143.00,99,4.84
266777,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,4,$71.00,51,4.86
374610,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,,115,4.37
383256,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,5,$184.00,237,4.59
411523,"Bologna, Emilia-Romagna, Italy",Santo Stefano,4,$162.00,143,4.89
584370,,Porto - Saragozza,1,$122.00,27,4.96
606753,,Santo Stefano,6,$25.00,6,3.33
648513,,Porto - Saragozza,2,$68.00,13,4.83
670725,,Savena,1,$86.00,8,4.5
684271,,Navile,4,$106.00,4,4.5
690226,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$167.00,119,4.93
724304,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$97.00,83,4.53
732525,,Porto - Saragozza,2,$196.00,19,5.0
742415,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,9,"$1,293.00",51,4.68
787769,"Bologna, Emilia-Romagna, Italy",Santo Stefano,4,$108.00,59,4.9
793706,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$60.00,388,4.69
804596,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$186.00,261,4.89
840951,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$96.00,157,4.75
842573,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$65.00,47,4.94
860436,"Bologna, Emilia-Romagna, Italy",Navile,2,$261.00,47,4.59
884148,,Santo Stefano,3,$120.00,722,4.79
944794,,Borgo Panigale - Reno,3,$70.00,203,4.79
952460,"Bologna, Emilia-Romagna, Italy",Santo Stefano,4,$129.00,292,4.68
953017,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$72.00,22,4.68
967061,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$87.00,590,4.79
981083,,Savena,2,$120.00,9,5.0
981727,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,4,$176.00,38,4.79
993645,,Porto - Saragozza,2,$162.00,175,4.94
1002365,,Borgo Panigale - Reno,7,$206.00,36,4.78
1007486,,Borgo Panigale - Reno,5,$171.00,3,4.33
1023596,,Porto - Saragozza,3,$186.00,126,4.86
1029853,"Bologna, Emilia-Romagna, Italy",Navile,4,$75.00,250,4.79
1116883,,Borgo Panigale - Reno,3,$27.00,209,4.48
1142503,,Santo Stefano,2,$79.00,595,4.7
1149912,,Borgo Panigale - Reno,3,$30.00,166,4.32
1189302,,Santo Stefano,3,$120.00,363,4.83
1199947,,Santo Stefano,2,$80.00,154,4.8
1222983,,Porto - Saragozza,2,,5,4.2
1250727,,Porto - Saragozza,2,,19,4.37
1250790,,Porto - Saragozza,2,,10,4.78
1364242,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,1,$36.00,38,4.72
1391869,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$92.00,151,4.97
1408005,,Santo Stefano,4,$84.00,474,4.8
1435627,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$83.00,816,4.71
1451862,,Porto - Saragozza,3,$210.00,28,4.86
1491202,"Bologna, BO, Italy",San Donato - San Vitale,5,$335.00,33,4.88
1566003,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$109.00,1052,4.52
1571942,"Bologna, Emilia-Romagna, Italy",Navile,1,$25.00,90,4.88
1577979,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,1,$64.00,505,4.83
1588677,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$53.00,122,4.5
1676504,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,2,$60.00,76,4.37
1739565,"Bologna, Emilia-Romagna, Italy",Santo Stefano,2,$227.00,338,4.93
1853123,,Santo Stefano,2,$357.00,0,
1863235,"Bologna, Emilia-Romagna, Italy",Savena,3,$123.00,60,4.9
1872453,"Bologna, Emilia-Romagna, Italy",Navile,2,$174.00,17,4.65
1949394,,Santo Stefano,2,$22.00,20,4.95
2212785,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,2,$63.00,34,4.5
2219937,,Porto - Saragozza,1,,208,4.67
2250424,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$209.00,191,4.87
2273362,"Bologna, Emilia-Romagna, Italy",Santo Stefano,5,$188.00,25,4.92
2280311,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,3,$113.00,355,4.83
2329387,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,4,$99.00,326,4.93
2330299,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$154.00,39,4.95
2359237,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,2,$135.00,43,4.81
2378587,"Bologna, Emilia-Romagna, Italy",Santo Stefano,7,$180.00,331,4.77
2390692,"Bologna, Emilia-Romagna, Italy",Santo Stefano,3,$152.00,94,4.78
2409234,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,6,$219.00,108,4.73
2423689,"Bologna, Emilia-Romagna, Italy",San Donato - San Vitale,6,$641.00,19,4.95
2427429,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,4,$176.00,59,4.76
2427567,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,4,$163.00,74,4.79
2448735,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,4,$179.00,70,4.64
2486018,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,3,$168.00,420,4.88
