id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
2737,"Rome, Lazio, Italy",VIII Appia Antica,1,$57.00,5,4.8
11834,"Rome, Lazio, Italy",I Centro Storico,2,$110.00,284,4.86
12398,"Rome, Lazio, Italy",II Parioli/Nomentano,6,$124.00,85,4.9
19965,"Rome, Lazio, Italy",I Centro Storico,5,$162.00,178,4.57
19967,"Rome, Lazio, Italy",I Centro Storico,5,$150.00,46,4.28
20534,"Rome, Lazio, Italy",I Centro Storico,4,$195.00,50,4.48
20587,"Rome, Lazio, Italy",I Centro Storico,4,$245.00,87,4.67
20699,"Rome, Lazio, Italy",I Centro Storico,2,$95.00,712,4.82
21193,"Rome, Lazio, Italy",I Centro Storico,3,,16,4.71
21811,"Rome, Lazio, Italy",I Centro Storico,4,$136.00,261,4.37
22930,"Rome, Lazio, Italy",I Centro Storico,2,$157.00,80,4.52
25875,"Rome, Lazio, Italy",XIII Aurelia,7,$177.00,46,4.7
29606,"Rome, Lazio, Italy",XII Monte Verde,7,$101.00,191,4.75
37054,,I Centro Storico,2,,740,4.68
37305,"Rome, Lazio, Italy",II Parioli/Nomentano,2,$140.00,23,4.74
37307,"Rome, Lazio, Italy",II Parioli/Nomentano,3,$162.00,56,4.78
43912,,XV Cassia/Flaminia,4,$95.00,15,4.53
22573,"Rome, Lazio, Italy",V Prenestino/Centocelle,3,$69.00,201,4.71
182862,"Rome, Lazio, Italy",I Centro Storico,2,$131.00,278,4.57
183969,"Rome, Lazio, Italy",I Centro Storico,3,$110.00,798,4.87
186484,"Rome, Lazio, Italy",I Centro Storico,3,$152.00,385,4.83
191877,"Rome, Lazio, Italy",I Centro Storico,4,$300.00,68,4.74
47213,"Rome, Lazio, Italy",VIII Appia Antica,3,,10,4.5
48807,"Rome, Lazio, Italy",V Prenestino/Centocelle,4,$85.00,267,4.81
49240,"Rome, Lazio, Italy",I Centro Storico,6,$311.00,76,4.71
50333,"Rome, Lazio, Italy",I Centro Storico,3,$125.00,145,4.8
50471,"Rome, Lazio, Italy",XII Monte Verde,2,$116.00,494,4.77
53203,"Rome, Lazio, Italy",II Parioli/Nomentano,6,$108.00,101,4.67
53265,"Rome, Lazio, Italy",XIII Aurelia,2,,170,4.93
53322,"Rome, Lazio, Italy",I Centro Storico,2,$137.00,238,4.54
192711,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,5,$90.00,52,4.35
192859,"Rome, Lazio, Italy",I Centro Storico,6,$308.00,130,4.59
194786,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,4,$79.00,269,4.53
195032,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,2,,7,4.29
196714,,I Centro Storico,6,$165.00,39,4.43
210511,,XIV Monte Mario,4,,21,4.81
53325,"Rome, Lazio, Italy",I Centro Storico,2,$160.00,263,4.55
