id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
7011,,Marsala,6,$219.00,32,4.69
22948,"Agrigento, Sicily, Italy",Agrigento,2,$45.00,458,4.82
35264,"Piedimonte Etneo, Sicily, Italy",Piedimonte Etneo,14,$109.00,165,4.8
43992,,Erice,5,$68.00,81,4.73
43995,,San Vito Lo Capo,8,$75.00,73,4.83
44672,"Syracuse, Sicily, Italy",Siracusa,4,$137.00,187,4.82
45304,"Agrigento, Sicily, Italy",Agrigento,5,$41.00,513,4.7
92111,"Castellammare del Golfo, Sicily, Italy",Castellammare del Golfo,2,$43.00,1,1.0
93746,"Graniti, Sicily, Italy",Graniti,6,$102.00,36,4.94
94908,"Avola, SIRACUSA, Italy",Avola,10,$300.00,5,4.6
97137,"Gioiosa Marea, Sicily, Italy",Gioiosa Marea,8,$185.00,0,
97433,"Gioiosa Marea, Sicily, Italy",Gioiosa Marea,5,$143.00,1,4.0
97889,"Palermo, Sicilia, Italy",Palermo,3,$44.00,43,4.63
98868,"Linguaglossa, Sicily, Italy",Linguaglossa,4,$181.00,35,4.89
98914,"Modica, Sicily, Italy",Modica,2,$58.00,25,4.84
101815,"Lido di Noto, Sicilia, Italy",Noto,6,$111.00,1,5.0
105253,,Altavilla Milicia,6,,0,
106233,"Catania, Sicily, Italy",Catania,2,$34.00,5,3.75
308875,"Zafferana Etnea, Sicilia, Italy",Zafferana Etnea,3,,2,4.5
316354,"Palermo, Sicily, Italy",Palermo,4,$90.00,15,4.73
316866,,Acireale,2,,0,
324793,,Giardini-Naxos,6,$94.00,96,4.89
325363,"San Vito Lo Capo, Sicily, Italy",San Vito Lo Capo,2,$132.00,238,4.88
326471,,Modica,4,,2,5.0
327309,,Palermo,6,$59.00,216,4.73
329655,"Cefalù, Sicily, Italy",Cefal,4,$67.00,190,4.45
334955,,Alcamo,5,$39.00,60,4.54
46486,,Siracusa,2,,0,
46487,,Siracusa,2,,0,
47591,"Linguaglossa, Sicily, Italy",Linguaglossa,2,$75.00,334,4.91
49025,"Santa Venerina, Sicily, Italy",Acireale,5,$108.00,14,4.79
49508,"Palermo, Sicily, Italy",Palermo,3,$96.00,531,4.84
335536,"Ragusa, Sicily, Italy",Ragusa,4,$44.00,0,
338837,"Marsala, Sicily, Italy",Marsala,4,$69.00,140,4.51
339258,,Trapani,4,$32.00,30,4.52
339549,,Palermo,6,$61.00,137,4.56
343186,,Palermo,2,$50.00,4,4.25
346571,,Scicli,10,$277.00,23,4.83
349453,"Capo D'orlando, Messina - Sicily, Italy",Capo d'Orlando,6,$114.00,194,4.82
353872,,Palermo,2,$51.00,0,
353877,,Licata,1,$44.00,7,5.0
353885,,Palermo,3,$63.00,0,
52806,"Sampieri, Ragusa, Italy",Scicli,6,$128.00,106,4.9
58664,"Ragusa, Sicily, Italy",Ragusa,4,$93.00,7,4.43
58665,"Marina di Ragusa, Sicily, Italy",Ragusa,6,$114.00,12,4.58
106236,,Catania,4,$34.00,20,4.32
110070,"Pantelleria, Trapani, Italy",Pantelleria,7,$180.00,102,4.85
116084,"Agrigento, Sicilia, Italy",Agrigento,2,,65,4.63
117009,,Modica,2,,0,
122032,,Letojanni,4,$63.00,3,4.5
123314,"Belpasso, Sicilia, Italy",Belpasso,4,$54.00,0,
128446,,Valderice,4,$106.00,1,4.0
128518,,Acquedolci,6,,0,
128744,"Avola, Sicilia, Italy",Avola,9,$204.00,49,4.63
132815,"Sciacca, Sicily, Italy",Sciacca,2,$62.00,56,4.95
135494,"Catania, Sicilia, Italy",Catania,8,$127.00,105,4.5
136725,"Catania, Sicily, Italy",Catania,4,$88.00,206,4.82
137012,"Catania, Sicily, Italy",Catania,4,$97.00,124,4.89
356890,"Marsala, Sicily, Italy",Marsala,4,$48.00,35,4.57
356891,"Marsala, Sicily, Italy",Marsala,2,$52.00,59,4.9
359066,"Alicudi, Isole Eolie, Sicily, Italy",Lipari,7,$135.00,118,4.92
359263,"Syracuse, Sicily, Italy",Siracusa,4,$191.00,68,4.78
361200,,Trapani,2,$56.00,201,4.77
364637,"Taormina, Sicily, Italy",Taormina,5,$300.00,159,4.98
366180,"Catania, Sicily, Italy",Catania,4,$34.00,30,4.8
366286,,San Vito Lo Capo,2,$62.00,151,4.85
58723,"Marina di Ragusa, Sicily, Italy",Ragusa,6,$140.00,7,4.86
60916,,Palermo,2,$81.00,85,4.88
67134,"Acireale, Sicily, Italy",Acireale,5,$75.00,16,4.69
367082,"Forza d'Agrò, Sicily, Italy",Forza d'Agr,4,,2,4.5
367726,"Letojanni, Sicily, Italy",Letojanni,4,$107.00,71,4.87
368818,"Taormina, Sicily, Italy",Taormina,3,$148.00,132,4.93
369067,,Pachino,3,$104.00,29,4.79
371827,,Lipari,4,$143.00,0,
386226,,Alcamo,5,$21.00,28,4.7
386378,"Palermo, Sicily, Italy",Palermo,3,$60.00,223,4.8
387683,,Trabia,5,$81.00,34,4.68
67225,"Acireale, Sicilia, Italy",Acireale,7,$97.00,13,4.69
137107,"Catania, Sicily, Italy",Catania,7,$106.00,103,4.9
