id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
37736,,Trentino,4,$93.00,128,4.87
56292,"Madonna di Campiglio, Trentino-Alto Adige, Italy",Trentino,4,$90.00,23,4.83
249351,"Male', Trentino-Alto Adige, Italy",Trentino,8,$72.00,12,5.0
299464,"Riva del Garda, Trentino-Alto Adige, Italy",Trentino,3,$94.00,1,5.0
367596,,Trentino,6,$91.00,44,4.79
398211,,Trentino,10,$177.00,66,4.89
398240,,Trentino,4,$78.00,144,4.91
398249,,Trentino,4,$100.00,94,4.94
414591,,Trentino,2,$100.00,96,4.89
414829,,Trentino,4,$165.00,138,4.99
506103,"Commezzadura, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$135.00,50,4.5
541153,"Vigo di Fassa, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$60.00,13,4.75
587230,,Trentino,4,$77.00,156,4.44
700213,,"Trento, Trentino",5,$68.00,152,4.91
714320,,Trentino,8,$340.00,2,5.0
715781,,Trentino,4,$285.00,0,
726907,"Vigo di Fassa, Trentino-Alto Adige, Italy",Trentino,4,$84.00,68,4.81
726936,"Mezzana, Trentino, Italy",Trentino,4,$602.00,1,4.0
727295,,Trentino,11,$217.00,6,5.0
733477,"Cavalese, Trentino, Italy",Trentino,7,$220.00,58,4.75
740209,"Moena, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$119.00,146,4.71
772315,"Mezzana, Trento, Italy",Trentino,4,$602.00,0,
772318,"Marilleva , Trento, Italy",Trentino,2,$602.00,0,
856998,"Piazzola, Trentino-Alto Adige, Italy",Trentino,9,$388.00,74,4.92
946214,"Campitello di Fassa, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$208.00,46,4.63
960850,"Campitello di Fassa, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,,35,4.66
1016693,"Arco, Trentino-Alto Adige/Südtirol, Italy",Trentino,2,$90.00,10,5.0
1025536,"Arco, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$54.00,245,4.8
1072852,"Castello-molina di Fiemme, Trentino-Alto Adige, Italy",Trentino,7,$65.00,120,4.83
1149531,"Calceranica al Lago, Trentino-Alto Adige, Italy",Trentino,3,$88.00,5,4.6
1252024,"Trento, Trentino-Alto Adige/Südtirol, Italy","Trento, Trentino",5,,23,5.0
1278750,,Trentino,2,$38.00,88,4.81
1304548,"Carisolo, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,,12,4.83
1368711,,Trentino,4,$200.00,14,4.64
1389891,"Volano, Trentino-Alto Adige/Südtirol, Italy",Trentino,12,$325.00,108,4.71
1418481,"Transacqua, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$191.00,5,4.8
1439810,"Trento, Trentino-Alto Adige/Südtirol, Italy","Trento, Trentino",2,$53.00,40,4.85
1445053,"Sant'orsola, Trentino-Alto Adige/Südtirol, Italy",Trentino,8,$130.00,19,4.89
1457682,"Volano, Trentino-Alto Adige, Italy",Trentino,3,$83.00,3,4.67
1457725,"Volano, Trentino-Alto Adige, Italy",Trentino,6,$108.00,1,5.0
1482326,,Trentino,6,"$1,700.00",26,4.81
1621365,"Andalo, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,$124.00,16,4.63
1647050,,Trentino,4,$116.00,5,4.8
1648750,"Dimaro, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$192.00,8,4.38
1650464,"Tenno, Trentino-Alto Adige/Südtirol, Italy",Trentino,3,$64.00,375,4.9
1714219,"Nago-torbole, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$73.00,42,4.81
1715277,,Trentino,6,$132.00,159,4.84
1736819,,Trentino,4,$95.00,102,4.82
1748581,"Passo del Tonale, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$140.00,10,4.78
1757377,"Mori, Trentino-Alto Adige, Italy",Trentino,4,$68.00,112,4.92
1770327,"Riva del Garda, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$150.00,3,5.0
1777329,"Canazei, Trentino-Alto Adige, Italy",Trentino,6,,46,4.93
1825571,,Trentino,6,$400.00,16,5.0
1828984,,Trentino,6,"$20,000.00",9,4.67
1835230,,Trentino,6,$400.00,26,4.42
1845279,"Riva del Garda, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$100.00,51,4.86
1854763,,Trentino,4,$250.00,1,5.0
1864113,"Campo Carlo Magno, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$380.00,23,4.7
1882273,"Baselga, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$74.00,87,4.93
1885587,"Baselga, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$57.00,73,4.92
1953995,"Rabbi, Trentino-Alto Adige/Südtirol, Italy",Trentino,2,$141.00,0,
2002066,"Canazei, Trentino-Alto Adige, Italy",Trentino,2,$247.00,23,4.91
2002148,"Canazei, Trentino-Alto Adige, Italy",Trentino,4,$250.00,56,4.89
2002229,"Canazei, Trentino-Alto Adige/Südtirol, Italy",Trentino,2,$247.00,24,4.79
2002317,"Canazei, Trentino-Alto Adige, Italy",Trentino,4,$247.00,96,4.82
2011959,"Mezzana, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$61.00,12,4.58
2017726,,Trentino,4,$240.00,3,5.0
2021500,,Trentino,5,$103.00,5,4.8
2033118,"Mezzana , Trento, Italy",Trentino,4,$55.00,14,4.29
2033190,"Mezzana, Trento, Italy",Trentino,4,$59.00,16,4.5
2054723,"Riva del Garda, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$109.00,448,4.96
2077943,,Trentino,9,$286.00,65,4.75
2147163,,Trentino,5,$160.00,51,4.86
2186256,"Alba-penia, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$185.00,0,
2206129,"Calceranica Al Lago, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,$36.00,100,4.68
2227624,,Trentino,6,$81.00,0,
2241212,"Sant'antonio di Mavignola, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,$91.00,83,4.51
2245097,"Sfruz, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$60.00,96,4.73
2251219,"Pera, Trentino-Alto Adige/Südtirol, Italy",Trentino,7,,13,4.62
2252550,"Cavalese, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$200.00,16,4.88
2285895,"Rovereto, Trentino-Alto Adige, Italy",Trentino,9,$200.00,26,4.77
2324307,"Pera, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,,33,4.88
2329082,"Mione-corte Inferiore, Trentino-Alto Adige, Italy",Trentino,10,$131.00,42,4.93
2395846,"RUMO, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$84.00,4,5.0
2403403,"Levico Terme, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$105.00,2,4.0
2409531,"Stenico, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,,12,4.83
2416868,"Pieve, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,$83.00,35,4.86
2422910,"Ledro, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$82.00,11,4.91
2427227,,Trentino,9,,64,4.83
2427380,"Ledro, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,$77.00,7,5.0
2428969,,Trentino,4,$115.00,45,5.0
2429018,"Virti, Trentino-Südtirol, Italy",Trentino,5,$78.00,14,5.0
2429307,"Virti, Trentino-Südtirol, Italy",Trentino,4,$58.00,12,5.0
2431711,"Sant'Antonio di Mavignola, Trentino-Alto Adige, Italy",Trentino,5,$91.00,47,4.49
2434951,"Ponte Arche, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$51.00,95,4.85
2436187,"Almazzago, Trentino-Alto Adige, Italy",Trentino,5,$64.00,53,4.75
2448852,"Comano Terme, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$88.00,41,4.88
2465157,"Madonna di Campiglio, Trentino, Italy",Trentino,10,$543.00,17,4.06
2475095,,Trentino,6,$70.00,23,4.83
2487685,"Ronzo-chienis, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$74.00,78,4.88
2541767,"Castello di Fiemme, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$125.00,96,4.92
2613779,,Trentino,4,$150.00,1,5.0
2621845,"Malé, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,$75.00,16,5.0
2745868,"Malosco, Trentino-Alto Adige/Südtirol, Italy",Trentino,5,,4,4.75
2754539,"Malosco, Trentino-Alto Adige, Italy",Trentino,4,,9,4.67
2773830,"Riva del Garda, Trentino-Alto Adige/Südtirol, Italy",Trentino,3,$82.00,26,4.62
2819792,"Ledro, Trentino, Italy",Trentino,5,$93.00,2,4.5
2819994,"Ledro, Trentino, Italy",Trentino,4,$93.00,1,3.0
2840392,"Valcanover, Trentino-Alto Adige, Italy",Trentino,4,$68.00,119,4.76
2863065,"Tesero, Trentino-Alto Adige/Südtirol, Italy",Trentino,10,$362.00,97,4.88
2909773,"Bezzecca, Trentino-Alto Adige, Italy",Trentino,14,,1,5.0
2971557,"Vattaro, Trentino-Alto Adige, Italy",Trentino,4,$111.00,6,5.0
2974538,"Riva del Garda, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$86.00,79,4.85
3001825,,Trentino,4,,8,4.5
3062569,,Trentino,2,$74.00,18,4.83
3076905,"Ragoli Tre Ville, Trento, Italy",Trentino,4,$105.00,59,4.95
3090461,"Ville di Fiemme, Trentino-Alto Adige, Italy",Trentino,8,$380.00,30,5.0
3135005,"Ragoli, Trentino-Alto Adige/Südtirol, Italy",Trentino,7,$81.00,49,4.98
3135881,,Trentino,2,$74.00,3,5.0
3161248,"Pozza di Fassa, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$68.00,258,4.76
3165698,"Pozza di Fassa, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$63.00,327,4.73
3172863,,Trentino,4,,99,4.91
3194015,"forno di Moena, Trentino-Alto Adige/Südtirol, Italy",Trentino,7,$144.00,407,4.81
3233431,"Riva del Garda, Trentino-Alto Adige/Südtirol, Italy",Trentino,6,$238.00,25,4.84
3297330,,Trentino,4,$85.00,35,4.94
3308953,,Trentino,4,$149.00,163,4.93
3336775,,Trentino,16,$400.00,58,4.81
3352323,"Pellizzano, Italy",Trentino,6,$120.00,17,4.59
3365713,,Trentino,3,,11,4.73
3389845,"Canazei, Trentino-Alto Adige/Südtirol, Italy",Trentino,3,$99.00,86,4.91
3391916,,Trentino,4,$88.00,84,4.81
3420764,"Lavarone, Trentino-Alto Adige/Südtirol, Italy",Trentino,4,$90.00,30,4.87
3484503,"Riva del Garda, Trentino-Alto Adige, Italy",Trentino,7,$188.00,13,4.38
3484693,"Vigo di Fassa, Trentino-Alto Adige, Italy",Trentino,16,$73.00,89,4.73
3488401,"Folgaria, Trentino-Alto Adige, Italy",Trentino,3,$82.00,6,5.0
3497705,"Forno, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$130.00,84,4.89
3503076,"Tesero, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$135.00,99,4.82
3590168,"Riva del Garda, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$150.00,10,4.3
3591347,,Trentino,4,$94.00,12,4.92
3640630,"Nago-torbole, Trentino-Alto Adige/South Tyrol, Italy",Trentino,3,$72.00,143,4.85
3672099,"Riva del Garda, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$150.00,8,4.88
3676799,,Trentino,5,$81.00,107,4.98
3710403,"Riva del Garda, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$150.00,12,4.33
3745116,"Mezzana, Trentino-Alto Adige, Italy",Trentino,4,$120.00,23,4.61
3765171,"Brentonico, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$99.00,2,2.0
3787940,"Riva del Garda, Trentino-Alto Adige/South Tyrol, Italy",Trentino,7,$250.00,16,4.75
3790076,"Penia, Trentino-Alto Adige, Italy",Trentino,4,$90.00,151,4.96
3809985,"Biacesa, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$127.00,55,4.58
3908261,"Alba-penia, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$200.00,38,4.42
3922576,"Ledro, Trento, Italy",Trentino,5,$69.00,50,4.96
3928557,"Pranzo, Trentino-Alto Adige, Italy",Trentino,5,$80.00,119,4.96
3935627,,Trentino,4,$132.00,18,4.72
3965750,"Cavalese, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$117.00,20,4.85
3966743,"Campitello di Fassa, Trentino-Alto Adige, Italy",Trentino,4,$146.00,85,4.28
3982773,"Cavedine, Trentino-Alto Adige/Sudtirol, Italy",Trentino,5,$67.00,65,4.82
3985863,,Trentino,4,$60.00,0,
4027911,"Vigo di Fassa, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$111.00,2,5.0
4040022,"Vigo di Fassa, Trentino-Alto Adige/South Tyrol, Italy",Trentino,5,$93.00,6,4.83
4067824,"Cavalese, Trentino-Alto Adige, Italy",Trentino,9,$190.00,33,4.7
4073191,,Trentino,2,$89.00,11,4.36
4073751,"Vigo di Fassa, Trentino-Alto Adige, Italy",Trentino,2,$90.00,20,4.65
4098930,"Trento, Trentino-Alto Adige/South Tyrol, Italy","Trento, Trentino",2,$77.00,3,5.0
4114689,"Andalo, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$260.00,8,3.88
4117391,"Vigo di Fassa, Italy",Trentino,6,$103.00,31,4.9
4118891,"Molveno, Trentino-Alto Adige, Italy",Trentino,4,$160.00,27,5.0
4119396,"Riva del Garda , Trentino-Südtirol, Italy",Trentino,3,$72.00,172,4.78
4122592,"Pera, Trentino-Alto Adige, Italy",Trentino,6,,3,5.0
4203566,,Trentino,6,,6,4.83
4245625,"Pieve di Ledro, Trentino-Alto Adige/South Tyrol, Italy",Trentino,5,$65.00,23,4.61
4248248,"Locca, Trentino-Alto Adige/South Tyrol, Italy",Trentino,5,$78.00,11,4.91
4272535,"Moena, Trentino-Alto Adige, Italy",Trentino,5,,22,4.86
4289798,"Marco, Trentino-Alto Adige, Italy",Trentino,7,$195.00,69,4.83
4299182,,Trentino,6,$77.00,13,4.77
4321174,"Siror, Trentino-Alto Adige/South Tyrol, Italy",Trentino,4,$67.00,87,4.84
4332093,"Moena, Trentino-Alto Adige, Italy",Trentino,8,$140.00,71,4.99
