Location,Coolness,Centrality,Quietness,Fanciness
Alberobello,6.5,6.0,7.5,8.0
Bari,8.5,9.5,5.0,7.5
Brindisi,6.0,7.5,6.5,6.5
Carovigno,5.5,5.5,8.5,7.0
Castellana Grotte,5.5,6.5,7.0,6.5
Ceglie Messapica,6.0,6.0,8.0,7.5
Cisternino,6.5,6.0,8.5,8.0
Fasano,6.5,7.0,7.5,7.5
Gallipoli,9.5,7.5,3.0,7.0
Lecce,8.5,8.5,6.0,8.0
Locorotondo,6.0,6.0,9.0,8.5
Martina Franca,6.5,7.0,7.5,8.0
Melendugno,6.5,6.5,7.5,7.0
Monopoli,8.0,8.0,6.0,8.0
Nard,6.5,7.0,7.5,7.5
Ostuni,8.5,8.0,5.5,9.0
Otranto,7.5,7.5,6.0,8.5
Peschici,7.0,6.5,7.0,7.5
Polignano a Mare,8.5,8.5,5.5,9.0
Porto Cesareo,8.0,6.5,4.5,7.0
Salve,5.5,5.5,8.5,6.5
Taranto,6.0,8.0,5.5,6.0
Trani,7.5,7.5,7.0,8.0
Vieste,8.0,7.0,6.5,7.5
